Timestamp,Operation,Entity,Latency_ms,PayloadSize_bytes,Method
1776189231.3363433,Key Generation,Student_Portal,3.38,3888,ML-DSA-44
1776189231.3863733,Digital Signature,Student_Portal,49.781,2420,ML-DSA-44
1776189231.3869474,Verification,Student_Portal,0.368,39,ML-DSA-44
1776189231.8877575,Key Generation,Ledger_Node_0,0.28,3888,ML-DSA-44
1776189231.9209247,Digital Signature,Ledger_Node_0,32.638,2420,ML-DSA-44
1776189231.9214928,Verification,Ledger_Node_0,0.335,39,ML-DSA-44
1776189232.422467,Key Generation,Wallet_Ext,0.384,3888,ML-DSA-44
1776189232.4496512,Digital Signature,Wallet_Ext,26.457,2420,ML-DSA-44
1776189232.4510767,Verification,Wallet_Ext,0.854,38,ML-DSA-44
1776189232.952592,Key Generation,Student_Portal,0.395,3888,ML-DSA-44
1776189232.977347,Digital Signature,Student_Portal,23.499,2420,ML-DSA-44
1776189232.9795454,Verification,Student_Portal,1.258,38,ML-DSA-44
1776189233.4810824,Key Generation,Ledger_Node_2,0.442,3888,ML-DSA-44
1776189233.4908822,Digital Signature,Ledger_Node_2,8.652,2420,ML-DSA-44
1776189233.4931552,Verification,Ledger_Node_2,1.273,39,ML-DSA-44
1776190140.4191408,Key Generation,Ledger_Node_1,0.97,3888,ML-DSA-44
1776190140.4712043,Digital Signature,Ledger_Node_1,19.724,2420,ML-DSA-44
1776190140.4872851,Verification,Ledger_Node_1,0.592,39,ML-DSA-44
1776190140.98856,Key Generation,Admin_Gateway,0.441,3888,ML-DSA-44
1776190141.027461,Digital Signature,Admin_Gateway,37.739,2420,ML-DSA-44
1776190141.0284493,Verification,Admin_Gateway,0.517,38,ML-DSA-44
1776190141.5296443,Key Generation,Wallet_Ext,0.39,3888,ML-DSA-44
1776190141.554603,Digital Signature,Wallet_Ext,23.543,2420,ML-DSA-44
1776190141.5561862,Verification,Wallet_Ext,0.79,38,ML-DSA-44
1776190160.8484251,Key Generation,Ledger_Node_1,0.836,3888,ML-DSA-44
1776190160.8868515,Digital Signature,Ledger_Node_1,37.99,2420,ML-DSA-44
1776190160.8881314,Verification,Ledger_Node_1,0.591,38,ML-DSA-44
1776190161.389034,Key Generation,Admin_Gateway,0.166,3889,ML-DSA-44
1776190161.4348984,Digital Signature,Admin_Gateway,45.264,2420,ML-DSA-44
1776190161.4360383,Verification,Admin_Gateway,0.553,38,ML-DSA-44
1776190161.9374235,Key Generation,Ledger_Node_1,0.405,3888,ML-DSA-44
1776190161.9842544,Digital Signature,Ledger_Node_1,45.23,2420,ML-DSA-44
1776190161.9862711,Verification,Ledger_Node_1,0.994,38,ML-DSA-44
1776190162.4881537,Key Generation,Ledger_Node_0,0.389,3888,ML-DSA-44
1776190162.5369205,Digital Signature,Ledger_Node_0,47.213,2420,ML-DSA-44
1776190162.5397046,Verification,Ledger_Node_0,1.403,39,ML-DSA-44
1776190163.0420666,Key Generation,Student_Portal,0.632,3888,ML-DSA-44
1776190163.089489,Digital Signature,Student_Portal,45.929,2420,ML-DSA-44
1776190163.090739,Verification,Student_Portal,0.581,38,ML-DSA-44
1776190163.5920928,Key Generation,Ledger_Node_0,0.387,3888,ML-DSA-44
1776190163.6147075,Digital Signature,Ledger_Node_0,21.068,2420,ML-DSA-44
1776190163.617805,Verification,Ledger_Node_0,1.16,38,ML-DSA-44
1776190164.119753,Key Generation,Wallet_Ext,0.333,3888,ML-DSA-44
1776190164.1395833,Digital Signature,Wallet_Ext,16.938,2420,ML-DSA-44
1776190164.1423814,Verification,Wallet_Ext,1.052,39,ML-DSA-44
1776190164.643989,Key Generation,Student_Portal,0.285,3888,ML-DSA-44
1776190164.658513,Digital Signature,Student_Portal,13.19,2420,ML-DSA-44
1776190164.6604183,Verification,Student_Portal,0.898,39,ML-DSA-44
1776190165.1618705,Key Generation,Ledger_Node_1,0.292,3888,ML-DSA-44
1776190165.1752672,Digital Signature,Ledger_Node_1,11.632,2420,ML-DSA-44
1776190165.1783316,Verification,Ledger_Node_1,1.14,39,ML-DSA-44
1776190165.6800976,Key Generation,Ledger_Node_0,0.254,3888,ML-DSA-44
1776190165.7189333,Digital Signature,Ledger_Node_0,37.617,2420,ML-DSA-44
1776190165.7202053,Verification,Ledger_Node_0,0.524,38,ML-DSA-44
